ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
54.28,5.79,-63.35,-58.99,-58.35,-109.9,Seek needle
55.23,6.12,-62.48,-27.56,-56.43,-125.74,Seek needle
54.86,5.92,-63.05,-57.93,-27.1,-86.72,Seek needle
53.53,6.32,-63.81,-16.44,-97.86,-164.09,Seek needle
54.49,6.38,-63.18,-62.23,-25.73,-82.8,Seek needle
53.92,6.71,-63.54,-64.54,-24.43,-80.65,Seek needle
53.72,5.28,-64.52,-64.98,-24.4,-81.0,Seek needle
56.44,6.13,-61.72,-40.32,-28.17,-106.31,Seek needle
57.17,6.88,-60.58,-35.97,-30.8,-110.56,Seek needle
57.46,6.4,-60.62,-43.33,-26.98,-103.82,Seek needle
55.76,5.77,-62.39,-32.5,-34.23,-114.28,Seek needle
53.27,3.4,-65.07,-25.25,-49.94,-125.53,Seek needle
55.03,2.45,-63.53,-31.11,-36.14,-116.32,Seek needle
51.95,2.0,-66.04,-35.27,-31.24,-111.81,Seek needle
53.83,2.77,-64.0,-59.67,-26.6,-93.06,Seek needle
54.01,2.5,-63.88,-20.72,-96.46,-167.56,Seek needle
54.7,1.65,-63.88,-17.98,-98.08,-167.22,Seek needle
55.6,1.52,-63.62,-18.11,-97.84,-166.52,Seek needle
56.54,1.45,-63.32,-22.72,-94.62,-167.13,Seek needle
55.65,0.34,-64.91,-23.9,-93.12,-167.24,Seek needle
57.72,2.0,-62.59,-60.87,-21.46,-84.57,Seek needle
53.85,-0.68,-67.74,-62.68,-20.74,-82.1,Seek needle
55.3,-0.28,-66.39,-60.57,-20.54,-82.52,Seek needle
56.86,0.73,-64.84,-58.61,-20.84,-83.48,Seek needle
55.48,-0.15,-66.56,-58.42,-19.13,-81.15,Seek needle
56.79,1.2,-64.79,-56.93,-18.46,-79.94,Seek needle
55.98,-0.06,-66.35,-55.09,-19.23,-81.57,Seek needle
54.72,0.02,-67.35,-51.94,-18.98,-84.05,Seek needle
57.03,2.67,-63.78,-55.02,-19.51,-82.01,Seek needle
56.82,2.91,-63.79,-52.63,-21.5,-84.63,Seek needle
57.67,2.3,-63.47,-58.97,-20.1,-81.78,Seek needle
55.57,0.7,-66.35,-58.78,-22.05,-86.36,Seek needle
55.2,-0.47,-67.5,-56.69,-24.21,-90.68,Seek needle
57.6,2.55,-63.79,-60.37,-23.66,-88.14,Seek needle
55.69,1.47,-65.82,-18.57,-96.73,-167.65,Seek needle
55.42,1.37,-66.1,-19.9,-97.02,-168.64,Seek needle
56.27,1.57,-65.18,-25.31,-91.99,-168.58,Seek needle
55.68,2.44,-65.44,-24.41,-92.35,-167.92,Seek needle
55.99,2.76,-64.94,-50.64,-23.04,-82.73,Seek needle
56.96,3.03,-63.8,-50.05,-23.25,-80.54,Seek needle
56.13,3.71,-64.15,-47.31,-22.17,-80.74,Seek needle
57.36,2.74,-63.69,-46.88,-22.05,-81.64,Seek needle
57.8,2.67,-63.34,-50.6,-21.47,-79.95,Seek needle
57.9,4.27,-62.4,-44.47,-21.61,-86.59,Seek needle
57.22,3.55,-63.22,-46.31,-22.61,-87.26,Seek needle
53.45,0.6,-68.08,-50.29,-22.84,-85.26,Seek needle
57.88,2.95,-63.17,-51.6,-23.48,-85.56,Seek needle
55.51,3.06,-65.21,-49.13,-23.53,-87.76,Seek needle
57.57,3.66,-63.17,-48.81,-23.5,-87.99,Seek needle
57.63,3.8,-63.03,-49.01,-22.58,-86.92,Seek needle
57.73,5.25,-61.79,-49.24,-22.8,-85.96,Seek needle
56.78,2.52,-64.01,-51.12,-22.9,-84.36,Seek needle
59.54,6.1,-60.49,-51.56,-22.73,-84.16,Seek needle
56.94,4.38,-64.93,-49.88,-22.69,-85.67,Seek needle
59.23,5.62,-62.36,-49.2,-23.03,-86.47,Seek needle
59.07,4.52,-63.1,-48.97,-23.0,-87.17,Seek needle
59.79,5.77,-62.3,-45.94,-22.91,-89.26,Seek needle
59.37,1.0,-71.6,-46.34,-22.95,-89.16,Seek needle
59.04,5.06,-66.06,-48.78,-22.09,-87.01,Seek needle
59.53,7.29,-64.53,-48.07,-22.2,-87.95,Seek needle
57.21,6.46,-66.88,-47.33,-22.03,-88.38,Seek needle
57.74,7.09,-66.52,-47.68,-22.18,-88.27,Seek needle
59.07,9.89,-64.04,-49.73,-22.13,-86.68,Seek needle
56.78,8.03,-66.43,-45.25,-22.55,-90.52,Seek needle
57.84,8.2,-65.67,-48.14,-22.25,-88.23,Seek needle
57.44,7.19,-66.67,-48.5,-22.23,-87.95,Seek needle
57.69,6.83,-67.3,-48.05,-22.47,-88.44,Seek needle
57.05,5.95,-62.04,-53.18,-21.89,-84.32,Seek needle
55.84,8.12,-59.54,-53.97,-22.13,-83.78,Seek needle
57.51,7.37,-58.48,-51.6,-22.47,-85.85,Seek needle
57.56,9.47,-57.54,-51.69,-22.13,-85.51,Seek needle
58.55,10.81,-57.25,-51.98,-22.68,-85.33,Seek needle
54.98,7.03,-63.03,-50.5,-22.41,-86.34,Seek needle
56.22,8.22,-61.55,-52.53,-22.09,-84.56,Seek needle
55.27,7.35,-62.81,-53.2,-22.5,-84.57,Seek needle
53.58,6.41,-64.67,-52.64,-22.67,-85.2,Seek needle
53.85,6.56,-63.93,-44.39,-23.42,-91.85,Seek needle
52.99,6.49,-64.32,-48.25,-22.96,-88.4,Seek needle
55.74,7.17,-61.51,-53.07,-23.32,-84.01,Seek needle
56.32,6.24,-61.41,-52.12,-23.31,-84.05,Seek needle
56.4,6.34,-61.76,-54.12,-23.37,-82.09,Seek needle
59.13,7.29,-59.46,-52.28,-23.24,-82.55,Seek needle
56.09,7.77,-61.45,-28.03,-89.62,-166.61,Seek needle
54.89,7.52,-61.74,-53.58,-21.99,-78.99,Seek needle
53.5,7.46,-62.12,-53.07,-22.5,-77.83,Seek needle
52.27,7.43,-62.64,-40.68,-78.62,-158.26,Seek needle
51.34,6.69,-63.74,-25.56,-89.94,-165.52,Seek needle
51.82,5.8,-64.03,-31.37,-85.32,-163.64,Seek needle
51.69,7.39,-63.89,-38.55,-21.68,-84.29,Seek needle
57.04,10.93,-59.18,-22.42,-91.32,-164.83,Seek needle
59.83,9.76,-60.1,-47.35,-17.76,-77.12,Seek needle
57.88,9.17,-64.82,-51.37,-17.35,-75.75,Seek needle
58.0,6.6,-68.91,-56.63,-18.6,-74.78,Seek needle
58.44,4.85,-71.72,-60.07,-21.24,-75.67,Seek needle
58.47,4.89,-68.31,-46.33,-22.56,-86.86,Seek needle
59.83,6.74,-66.39,-51.69,-22.26,-81.88,Seek needle
59.81,6.15,-67.32,-50.99,-21.97,-81.86,Seek needle
58.93,2.65,-66.59,-25.82,-90.79,-165.77,Seek needle
59.39,4.18,-65.13,-55.19,-22.15,-76.98,Seek needle
59.26,5.71,-64.02,-22.1,-93.44,-165.53,Seek needle
59.6,6.4,-63.04,-24.94,-91.43,-165.59,Seek needle
59.27,5.84,-63.12,-21.31,-93.16,-165.31,Seek needle
58.54,5.33,-63.78,-48.7,-23.32,-81.63,Seek needle
59.32,5.28,-62.84,-47.13,-23.49,-82.42,Seek needle
57.94,2.91,-64.82,-31.2,-87.6,-163.91,Seek needle
57.9,3.78,-64.08,-41.24,-24.61,-86.48,Seek needle
58.98,3.69,-63.41,-22.25,-93.19,-164.59,Seek needle
59.64,2.28,-63.96,-49.62,-22.35,-78.4,Seek needle
59.22,1.26,-65.33,-58.35,-21.68,-70.58,Seek needle
58.13,1.89,-66.33,-20.05,-94.55,-164.89,Seek needle
57.55,1.28,-65.48,-56.71,-24.19,-79.71,Seek needle
59.45,1.49,-63.04,-16.35,-97.66,-164.42,Seek needle
56.74,-0.73,-65.59,-17.11,-97.2,-164.77,Seek needle
54.67,-1.46,-66.69,-17.29,-97.75,-164.64,Seek needle
56.53,-0.87,-63.85,-16.87,-98.28,-164.41,Seek needle
57.54,0.49,-61.17,-18.0,-98.2,-164.33,Seek needle
56.21,-0.08,-61.57,-16.93,-98.0,-164.0,Seek needle
57.59,0.88,-58.28,-18.14,-97.13,-164.11,Seek needle
57.07,1.43,-56.85,-17.22,-97.39,-163.67,Seek needle
54.84,1.5,-57.33,-19.06,-96.65,-163.86,Seek needle
55.02,1.85,-55.46,-24.22,-92.52,-164.16,Seek needle
52.11,-0.16,-57.84,-26.84,-90.57,-163.96,Seek needle
54.13,1.35,-53.94,-18.04,-95.68,-162.75,Seek needle
52.53,0.66,-55.12,-48.58,-21.42,-81.54,Seek needle
50.61,1.25,-55.85,-49.7,-20.64,-79.31,Seek needle
52.48,3.74,-52.04,-46.88,-19.98,-79.88,Seek needle
50.49,2.31,-54.16,-45.24,-19.98,-80.12,Seek needle
50.73,2.55,-53.22,-51.84,-18.04,-71.44,Seek needle
49.46,2.58,-54.13,-53.86,-16.89,-67.11,Seek needle
51.23,4.71,-50.81,-53.98,-15.97,-64.83,Seek needle
48.67,2.35,-54.28,-52.8,-15.22,-64.42,Seek needle
49.66,3.65,-52.27,-49.99,-14.53,-65.84,Seek needle
48.33,3.53,-53.19,-47.89,-14.15,-67.24,Seek needle
48.59,4.11,-52.19,-47.5,-13.91,-67.4,Seek needle
49.7,5.49,-49.97,-45.1,-13.89,-69.82,Seek needle
49.48,5.29,-50.11,-45.07,-14.04,-70.11,Seek needle
48.67,5.02,-50.91,-44.5,-13.99,-70.63,Seek needle
48.16,5.69,-50.89,-43.35,-13.34,-71.39,Seek needle
48.7,6.98,-49.4,-42.2,-13.29,-71.9,Seek needle
47.28,6.3,-50.6,-39.8,-13.31,-73.63,Seek needle
49.51,7.63,-47.3,-38.98,-13.1,-73.64,Seek needle
47.42,7.69,-48.77,-39.43,-12.53,-72.25,Seek needle
48.83,6.63,-47.8,-39.25,-12.0,-71.51,Seek needle
48.18,8.56,-46.87,-37.59,-11.86,-72.56,Seek needle
48.29,8.24,-46.74,-36.17,-11.82,-73.39,Seek needle
47.75,8.62,-46.93,-34.54,-11.19,-73.88,Seek needle
46.33,7.52,-48.86,-34.42,-9.85,-72.51,Seek needle
47.52,8.56,-47.08,-32.48,-9.8,-73.54,Seek needle
44.92,7.8,-50.02,-31.06,-9.39,-73.54,Seek needle
47.39,8.56,-47.19,-30.72,-8.66,-72.42,Seek needle
47.69,8.85,-46.77,-27.99,-9.16,-74.28,Seek needle
47.95,9.02,-46.42,-27.55,-9.1,-74.21,Seek needle
47.61,9.35,-46.57,-26.2,-9.44,-75.42,Seek needle
47.93,8.78,-46.33,-26.82,-8.59,-73.76,Seek needle
46.53,9.22,-46.97,-26.23,-8.93,-74.28,Seek needle
46.31,9.48,-46.26,-25.99,-9.16,-74.73,Seek needle
47.49,9.06,-44.55,-23.86,-10.25,-77.69,Seek needle
45.03,8.17,-46.23,-25.21,-9.49,-76.37,Seek needle
46.03,9.51,-42.74,-25.4,-9.79,-76.14,Seek needle
47.18,7.83,-41.12,-23.99,-9.61,-77.25,Seek needle
43.2,6.95,-44.56,-22.92,-9.84,-77.86,Seek needle
41.97,7.15,-44.11,-20.83,-10.66,-79.7,Seek needle
40.64,6.98,-44.26,-17.32,-11.53,-82.73,Seek needle
40.01,6.54,-42.96,-15.81,-12.17,-83.23,Seek needle
40.47,6.83,-40.13,-15.65,-11.9,-82.18,Seek needle
39.77,7.2,-39.3,-14.61,-12.16,-83.39,Seek needle
