ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
51.33,-20.79,-37.63,7.79,-14.52,-40.41,Seek needle
52.29,-21.2,-36.83,8.78,-13.94,-41.56,Seek needle
51.8,-21.62,-37.38,7.16,-13.72,-38.5,Seek needle
50.84,-21.07,-37.87,10.99,-15.63,-48.77,Seek needle
50.8,-21.5,-38.36,8.48,-13.31,-40.97,Seek needle
51.75,-21.2,-36.7,7.93,-12.55,-38.96,Seek needle
51.26,-20.76,-36.81,8.61,-12.67,-40.39,Seek needle
50.02,-21.39,-38.76,7.92,-11.87,-37.05,Seek needle
50.99,-21.32,-37.43,7.16,-12.25,-36.33,Seek needle
51.72,-20.98,-36.32,6.71,-12.06,-35.18,Seek needle
52.73,-22.27,-36.81,7.5,-12.6,-38.14,Seek needle
51.24,-22.05,-38.61,7.99,-12.5,-38.53,Seek needle
58.4,-21.4,-30.37,10.78,-12.55,-44.12,Seek needle
58.35,-21.29,-30.21,8.72,-11.5,-39.35,Seek needle
59.13,-21.17,-29.32,10.07,-12.07,-42.23,Seek needle
58.51,-21.6,-30.26,10.1,-11.69,-41.64,Seek needle
58.31,-21.29,-30.29,8.48,-9.68,-35.74,Seek needle
58.78,-20.5,-29.01,7.24,-9.06,-31.78,Seek needle
54.61,-21.2,-34.22,10.53,-10.31,-39.07,Seek needle
55.38,-21.11,-33.48,9.38,-9.92,-36.45,Seek needle
54.78,-21.33,-34.45,10.71,-10.19,-38.87,Seek needle
54.64,-20.42,-33.73,10.12,-9.59,-37.26,Seek needle
54.86,-20.85,-33.94,12.25,-11.11,-42.52,Seek needle
54.16,-21.65,-35.5,10.55,-10.39,-38.37,Seek needle
50.44,-21.75,-40.11,8.49,-9.9,-33.85,Seek needle
49.48,-22.33,-41.81,10.13,-10.54,-38.13,Seek needle
49.44,-22.15,-41.82,9.95,-9.81,-36.76,Seek needle
52.6,-20.95,-37.21,9.5,-9.8,-35.85,Seek needle
53.61,-20.55,-35.96,10.25,-10.1,-37.53,Seek needle
52.17,-21.45,-38.48,10.67,-10.24,-38.25,Seek needle
52.27,-21.03,-38.17,11.2,-10.17,-38.67,Seek needle
52.64,-20.79,-37.41,11.38,-9.77,-37.88,Seek needle
54.23,-20.73,-35.76,9.75,-9.48,-34.06,Seek needle
53.78,-20.48,-36.25,12.2,-10.44,-39.64,Seek needle
53.07,-20.75,-37.26,10.91,-10.01,-36.63,Seek needle
50.87,-21.84,-40.81,11.31,-10.53,-37.73,Seek needle
52.05,-21.69,-39.29,11.13,-10.59,-36.94,Seek needle
52.54,-21.84,-39.09,12.27,-11.7,-41.33,Seek needle
54.46,-20.6,-35.88,10.22,-11.71,-38.35,Seek needle
54.22,-20.66,-36.29,11.25,-11.71,-40.23,Seek needle
53.28,-20.11,-36.97,12.05,-11.49,-41.13,Seek needle
50.76,-21.46,-40.96,10.19,-10.22,-35.83,Seek needle
50.57,-21.01,-40.74,10.84,-9.92,-36.81,Seek needle
54.3,-20.78,-36.47,10.88,-10.04,-36.64,Seek needle
54.05,-21.17,-37.05,10.69,-10.13,-36.48,Seek needle
53.96,-19.83,-36.21,12.2,-11.33,-41.18,Seek needle
54.35,-20.44,-36.35,10.98,-10.38,-37.47,Seek needle
52.76,-20.71,-38.39,11.16,-10.2,-37.47,Seek needle
53.35,-21.25,-37.76,11.37,-10.91,-38.86,Seek needle
52.9,-21.0,-38.22,12.07,-10.78,-40.59,Seek needle
53.23,-21.38,-38.39,12.52,-11.1,-41.89,Seek needle
54.72,-20.44,-36.18,11.92,-10.17,-39.47,Seek needle
54.71,-20.61,-36.57,10.75,-9.14,-35.44,Seek needle
51.27,-20.63,-40.6,11.65,-9.85,-38.09,Seek needle
54.0,-19.63,-37.16,11.7,-10.06,-38.46,Seek needle
53.75,-20.15,-37.93,10.71,-10.73,-37.67,Seek needle
52.28,-21.35,-40.69,12.13,-11.34,-41.51,Seek needle
52.3,-20.63,-40.09,11.12,-10.46,-38.61,Seek needle
53.8,-20.48,-38.28,12.83,-11.03,-42.87,Seek needle
55.01,-20.86,-37.15,12.87,-11.86,-44.42,Seek needle
46.22,-23.23,-48.7,9.93,-11.76,-40.04,Seek needle
49.07,-21.58,-44.2,11.29,-11.55,-42.46,Seek needle
49.07,-21.58,-44.2,10.99,-11.27,-41.87,Seek needle
54.18,-21.62,-38.58,9.88,-11.36,-40.53,Seek needle
52.44,-20.44,-39.25,9.78,-10.61,-39.31,Seek needle
50.38,-21.91,-42.51,9.05,-10.42,-38.0,Seek needle
55.1,-21.08,-36.64,10.85,-10.61,-41.65,Seek needle
50.13,-21.05,-42.24,11.63,-11.1,-44.67,Seek needle
49.44,-21.08,-43.14,10.47,-10.69,-42.16,Seek needle
47.44,-21.33,-45.6,9.5,-9.65,-38.76,Seek needle
54.63,-19.75,-36.36,9.67,-9.62,-39.39,Seek needle
52.59,-20.09,-38.85,10.13,-10.76,-42.17,Seek needle
48.22,-21.68,-45.04,12.12,-11.09,-46.12,Seek needle
53.53,-20.31,-38.08,12.31,-9.57,-44.28,Seek needle
51.22,-21.29,-41.22,11.28,-8.21,-39.38,Seek needle
54.74,-20.51,-36.69,10.92,-8.09,-38.48,Seek needle
52.92,-21.43,-39.59,15.38,-11.79,-51.79,Seek needle
54.15,-20.43,-37.72,14.54,-12.0,-50.62,Seek needle
51.68,-20.58,-41.16,15.3,-12.56,-52.61,Seek needle
56.81,-20.31,-35.71,13.87,-10.44,-47.64,Seek needle
53.74,-20.34,-39.3,10.43,-9.74,-39.86,Seek needle
53.51,-20.38,-39.79,13.36,-9.97,-45.24,Seek needle
52.24,-20.1,-40.99,13.99,-10.7,-46.98,Seek needle
55.02,-20.87,-38.43,13.43,-10.68,-45.99,Seek needle
51.61,-21.45,-42.64,13.98,-11.77,-48.77,Seek needle
48.49,-22.57,-47.15,15.05,-11.76,-50.5,Seek needle
50.58,-21.36,-44.21,11.28,-8.28,-38.14,Seek needle
54.35,-20.35,-39.33,11.46,-8.6,-38.29,Seek needle
54.93,-21.22,-39.28,12.61,-9.77,-41.84,Seek needle
53.72,-20.8,-40.18,12.93,-10.15,-43.49,Seek needle
54.43,-20.45,-38.98,13.65,-10.82,-45.82,Seek needle
53.73,-20.94,-40.07,13.25,-10.29,-44.03,Seek needle
54.7,-21.41,-39.22,12.95,-9.82,-42.42,Seek needle
54.29,-20.59,-39.26,12.28,-9.86,-41.34,Seek needle
52.16,-21.23,-42.24,12.07,-9.79,-40.63,Seek needle
52.99,-21.41,-41.74,12.09,-9.82,-40.82,Seek needle
54.55,-22.04,-40.66,13.38,-10.2,-43.36,Seek needle
55.59,-22.17,-39.79,13.21,-10.04,-42.77,Seek needle
55.03,-22.07,-40.25,13.32,-9.64,-41.96,Seek needle
55.4,-20.96,-39.18,14.77,-10.96,-46.27,Seek needle
55.77,-21.55,-39.4,14.71,-10.49,-45.04,Seek needle
54.35,-20.92,-40.81,12.56,-10.36,-40.73,Seek needle
55.21,-21.03,-40.16,12.73,-10.57,-41.6,Seek needle
56.78,-20.6,-38.4,13.74,-11.28,-45.12,Seek needle
54.97,-20.91,-40.63,13.47,-9.9,-42.65,Seek needle
55.68,-20.41,-39.32,14.51,-10.67,-45.54,Seek needle
54.89,-21.51,-40.94,12.67,-9.73,-41.38,Seek needle
52.33,-21.56,-43.73,14.05,-11.11,-46.04,Seek needle
52.61,-21.61,-43.32,12.59,-9.91,-41.81,Seek needle
52.51,-21.6,-43.41,13.79,-9.99,-44.41,Seek needle
52.51,-21.6,-43.41,12.5,-9.4,-41.55,Seek needle
55.35,-21.2,-40.01,13.17,-9.33,-42.65,Seek needle
55.74,-21.02,-39.49,11.81,-9.75,-40.69,Seek needle
55.78,-20.61,-39.01,12.97,-8.91,-41.78,Seek needle
54.41,-20.61,-40.62,11.93,-8.68,-38.99,Seek needle
55.82,-20.65,-39.03,11.74,-9.55,-39.82,Seek needle
54.71,-20.9,-40.38,11.43,-9.02,-38.12,Seek needle
55.5,-20.21,-39.2,11.1,-9.04,-37.68,Seek needle
55.76,-20.45,-38.93,13.37,-9.79,-42.93,Seek needle
54.48,-20.7,-40.43,13.92,-10.4,-44.81,Seek needle
53.84,-21.17,-41.64,14.12,-10.04,-45.42,Seek needle
51.79,-21.61,-44.15,13.22,-10.06,-43.94,Seek needle
53.52,-21.21,-41.99,14.03,-10.19,-45.75,Seek needle
53.4,-21.17,-42.1,14.28,-10.39,-46.12,Seek needle
51.45,-21.72,-44.59,13.83,-9.52,-43.69,Seek needle
