ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
25.15,-13.64,-21.75,-11.52,6.61,-26.28,Set needle
26.31,-13.89,-20.87,-13.26,6.87,-23.49,Set needle
25.51,-13.43,-22.12,-14.94,8.37,-18.95,Set needle
25.25,-14.18,-24.14,-8.93,6.94,-27.02,Set needle
23.86,-14.73,-27.2,-9.78,6.98,-24.52,Set needle
25.23,-13.97,-24.96,-9.71,7.62,-22.5,Set needle
22.71,-13.98,-28.99,-6.85,5.07,-29.89,Set needle
25.13,-13.35,-25.25,-8.31,5.28,-27.37,Set needle
24.37,-13.82,-26.57,-11.52,7.65,-19.23,Set needle
24.26,-14.24,-27.11,-7.28,7.47,-24.69,Set needle
25.06,-14.14,-25.86,-5.66,5.02,-28.58,Set needle
24.62,-14.26,-26.53,-4.17,5.67,-29.0,Set needle
24.6,-12.67,-25.52,-5.59,3.74,-26.42,Set needle
25.84,-12.17,-23.61,-2.88,3.26,-28.55,Set needle
24.45,-12.38,-26.12,-0.54,2.44,-29.82,Set needle
23.86,-13.23,-27.98,-5.4,2.6,-22.31,Set needle
22.61,-14.24,-30.55,-5.0,3.81,-21.33,Set needle
23.94,-14.34,-27.41,-5.57,4.65,-17.78,Set needle
24.59,-14.11,-25.39,-2.7,3.6,-20.16,Set needle
23.26,-14.57,-26.29,-1.24,3.1,-18.97,Set needle
24.38,-14.85,-23.12,0.09,4.96,-15.39,Set needle
23.92,-14.63,-22.04,1.0,4.82,-15.97,Set needle
23.19,-14.88,-21.01,1.29,3.81,-18.15,Set needle
24.81,-14.22,-16.66,3.06,4.59,-21.66,Set needle
23.03,-14.83,-19.58,5.95,4.38,-27.71,Set needle
23.02,-14.14,-18.83,2.09,6.41,-18.43,Set needle
24.62,-13.76,-16.34,4.02,6.73,-21.59,Set needle
21.59,-13.78,-20.84,0.67,8.89,-12.62,Set needle
21.97,-13.23,-20.01,1.77,7.84,-15.56,Set needle
22.03,-13.44,-20.81,1.2,8.74,-13.61,Set needle
22.11,-12.33,-20.58,1.71,7.41,-16.68,Set needle
24.2,-12.52,-19.22,2.04,5.87,-19.97,Set needle
23.52,-11.47,-19.31,2.1,6.89,-18.95,Set needle
23.12,-11.5,-20.95,-0.49,6.53,-15.57,Set needle
25.43,-11.0,-17.89,-0.36,7.67,-14.01,Set needle
26.81,-10.62,-16.2,4.79,7.1,-26.04,Set needle
27.91,-9.82,-14.89,5.91,5.06,-40.02,Set needle
27.32,-9.89,-17.45,-12.79,12.67,-14.22,Set needle
29.22,-9.27,-16.78,-13.06,9.96,-18.63,Set needle
28.89,-10.53,-20.93,-13.63,11.51,-15.83,Set needle
29.61,-9.63,-20.34,-14.08,13.1,-18.16,Set needle
29.53,-9.71,-22.6,-15.81,10.9,-20.98,Set needle
29.24,-9.38,-23.95,-15.24,10.89,-23.41,Set needle
32.61,-8.52,-20.08,-10.97,12.31,-31.58,Set needle
34.25,-7.95,-18.57,-14.46,10.83,-30.96,Set needle
36.41,-6.72,-15.99,-14.46,13.3,-26.5,Set needle
34.91,-6.82,-18.8,-13.77,14.63,-23.38,Set needle
34.62,-7.2,-19.87,-9.45,13.69,-29.69,Set needle
34.96,-7.68,-19.95,-9.0,11.29,-33.77,Set needle
35.2,-6.63,-18.93,-9.0,12.78,-32.86,Set needle
35.49,-6.75,-19.04,-3.44,10.99,-37.78,Set needle
34.21,-7.93,-22.07,-2.44,10.91,-31.0,Set needle
33.84,-8.78,-24.21,6.04,7.62,-34.76,Set needle
34.24,-8.38,-23.32,8.49,3.35,-34.08,Set needle
33.24,-9.64,-25.55,13.64,2.97,-33.27,Set needle
33.6,-9.81,-24.74,15.65,0.49,-29.31,Set needle
34.5,-8.71,-22.01,16.83,-0.33,-27.4,Set needle
35.74,-7.61,-18.98,15.35,-2.11,-18.83,Set needle
32.76,-9.04,-23.54,21.61,-1.08,-24.58,Set needle
35.39,-8.45,-18.86,17.72,2.07,-10.6,Set needle
34.08,-7.94,-19.3,21.94,-0.98,-19.86,Set needle
34.88,-7.19,-16.97,23.79,-0.4,-20.37,Set needle
34.96,-7.72,-17.35,26.78,-1.82,-26.34,Set needle
32.84,-7.61,-19.95,25.9,0.5,-17.59,Set needle
33.49,-7.53,-19.11,21.74,-1.88,-15.24,Set needle
32.67,-8.27,-20.72,24.22,-0.52,-20.26,Set needle
33.03,-9.12,-19.89,20.72,0.0,-15.1,Set needle
32.41,-10.41,-20.38,21.02,0.85,-15.97,Set needle
32.99,-11.71,-19.4,19.59,6.0,-7.1,Set needle
32.47,-14.3,-22.24,21.01,1.33,-22.6,Set needle
32.58,-14.41,-22.02,18.04,4.03,-17.69,Set needle
35.9,-13.91,-17.47,17.05,3.63,-19.03,Set needle
37.86,-11.56,-13.55,16.65,5.04,-15.87,Set needle
38.33,-10.25,-12.86,18.77,5.53,-16.37,Set needle
38.55,-9.9,-13.39,20.79,4.76,-19.05,Set needle
37.11,-9.96,-16.34,20.61,5.32,-15.54,Set needle
38.18,-8.08,-14.18,20.43,4.63,-14.56,Set needle
36.17,-6.91,-16.71,21.06,2.46,-17.1,Set needle
35.59,-5.01,-16.3,21.64,-1.46,-22.07,Set needle
37.15,-3.73,-14.41,19.94,-2.98,-16.69,Set needle
37.07,-1.91,-12.74,18.97,-2.86,-11.94,Set needle
41.06,3.69,-2.83,18.52,-6.94,-18.55,Set needle
38.64,2.22,-7.14,18.52,-8.68,-22.69,Set needle
39.78,3.33,-4.36,17.81,-11.42,-27.9,Set needle
37.26,4.04,-6.15,13.08,-10.26,-20.5,Set needle
37.57,4.09,-5.09,16.25,-11.48,-32.26,Set needle
36.76,3.96,-5.02,12.79,-9.36,-25.22,Set needle
38.07,4.62,-0.9,13.48,-11.58,-30.36,Set needle
38.04,4.69,0.95,15.29,-10.53,-34.46,Set needle
37.29,3.07,0.72,15.4,-9.54,-34.89,Set needle
38.03,2.07,2.69,11.96,-9.37,-31.69,Set needle
37.66,1.58,3.56,9.3,-7.52,-25.36,Set needle
38.34,0.87,5.41,12.36,-6.51,-30.36,Set needle
36.77,0.41,4.51,10.83,-6.01,-26.9,Set needle
35.54,-1.07,2.87,11.03,-5.13,-26.79,Set needle
36.02,-3.6,2.45,11.18,-4.64,-27.49,Set needle
32.71,-4.87,-1.23,9.5,-2.79,-24.41,Set needle
32.45,-4.97,0.06,10.41,-1.27,-26.43,Set needle
32.57,-6.04,-0.82,13.57,-0.11,-31.02,Set needle
34.61,-4.79,2.55,9.46,2.69,-19.17,Set needle
35.48,-4.74,2.57,12.36,2.3,-25.77,Set needle
33.91,-5.41,-1.08,12.31,3.23,-24.95,Set needle
34.78,-5.01,0.23,8.94,4.66,-16.93,Set needle
35.37,-4.14,1.75,11.41,6.55,-18.08,Set needle
34.59,-5.13,-0.72,11.91,6.79,-16.88,Set needle
33.75,-4.58,-2.41,10.53,8.2,-11.08,Set needle
35.96,-3.46,1.43,11.0,7.21,-13.07,Set needle
33.96,-3.31,-2.2,11.28,6.42,-14.61,Set needle
34.27,-2.58,-1.42,12.09,6.24,-16.61,Set needle
34.2,-2.46,-1.39,13.17,5.39,-19.8,Set needle
34.09,-3.76,-2.84,9.18,6.82,-10.2,Set needle
32.72,-4.0,-4.65,8.97,7.28,-8.88,Set needle
33.29,-3.77,-3.64,9.61,6.93,-10.59,Set needle
33.12,-4.04,-4.18,10.65,5.6,-14.47,Set needle
31.69,-4.51,-6.24,9.97,5.24,-14.08,Set needle
34.23,-4.33,-1.78,10.75,5.58,-15.57,Set needle
31.83,-4.43,-4.41,13.07,5.42,-19.48,Set needle
32.02,-4.31,-3.53,8.59,7.23,-8.43,Set needle
32.98,-4.02,-2.58,10.5,4.22,-16.54,Set needle
33.47,-4.05,-1.96,7.96,4.62,-11.47,Set needle
34.21,-2.93,0.45,9.18,4.55,-14.23,Set needle
32.39,-4.12,-3.11,9.59,3.52,-16.8,Set needle
31.88,-4.39,-4.08,10.2,4.6,-16.49,Set needle
30.87,-5.99,-7.19,9.0,4.09,-14.98,Set needle
30.39,-6.03,-8.18,9.23,3.73,-16.06,Set needle
30.58,-4.76,-6.73,5.59,5.21,-7.44,Set needle
30.47,-4.54,-6.58,7.67,4.2,-13.19,Set needle
30.59,-4.54,-6.43,4.09,5.1,-5.52,Set needle
31.58,-4.04,-4.51,4.35,5.03,-6.3,Set needle
32.54,-4.31,-3.36,7.11,5.02,-11.24,Set needle
32.77,-4.18,-2.89,7.62,4.52,-13.11,Set needle
32.37,-3.89,-2.8,7.68,4.92,-12.7,Set needle
33.15,-2.4,-0.06,7.06,5.32,-11.28,Set needle
31.06,-3.01,-3.27,5.97,6.01,-8.6,Set needle
30.93,-0.45,-1.06,4.38,5.66,-5.8,Set needle
31.46,-1.03,-2.97,8.38,4.64,-14.84,Set needle
30.9,-0.34,-2.87,4.17,5.83,-5.01,Set needle
28.63,-2.0,-7.93,4.26,6.2,-4.72,Set needle
31.96,-1.4,-3.06,3.67,6.2,-3.73,Set needle
32.95,-0.78,-1.91,9.22,5.4,-14.22,Set needle
31.58,-1.15,-5.86,6.66,6.46,-6.17,Set needle
33.08,1.26,-2.09,12.76,4.83,-18.38,Set needle
32.79,2.66,-2.73,11.73,4.15,-14.78,Set needle
31.76,2.83,-5.61,12.22,1.3,-13.35,Set needle
33.97,5.3,-1.05,13.6,1.39,-12.78,Set needle
34.14,2.99,-2.55,12.2,1.16,-10.12,Set needle
35.27,2.93,0.89,12.81,-2.15,-17.8,Set needle
35.94,3.62,4.52,12.79,-2.31,-19.46,Set needle
37.37,3.31,7.58,12.99,-0.5,-17.3,Set needle
37.98,2.17,7.17,12.13,-0.11,-14.33,Set needle
37.47,1.54,5.98,12.87,0.03,-14.74,Set needle
40.13,4.63,13.69,13.63,-0.85,-15.57,Set needle
42.06,4.9,16.78,15.64,-0.71,-17.2,Set needle
40.25,5.18,14.73,15.1,-1.2,-17.05,Set needle
40.88,5.7,16.11,12.74,-1.38,-11.46,Set needle
40.41,5.14,14.83,13.81,-2.39,-12.99,Set needle
41.0,6.93,17.64,15.81,-3.7,-16.27,Set needle
39.26,5.65,13.85,14.51,-5.12,-12.11,Set needle
42.03,6.21,17.92,15.72,-5.34,-12.11,Set needle
41.25,6.62,16.99,18.28,-6.07,-15.05,Set needle
39.42,7.14,15.07,19.99,-10.19,-21.28,Set needle
38.32,3.52,9.7,22.58,-11.89,-24.43,Set needle
41.12,5.41,16.02,24.14,-12.77,-20.15,Set needle
38.81,3.74,11.0,27.36,-12.25,-22.1,Set needle
37.97,2.72,8.75,24.83,-12.21,-15.42,Set needle
39.4,4.0,12.13,25.89,-13.18,-20.44,Set needle
40.26,3.54,13.01,25.24,-13.08,-19.2,Set needle
40.75,3.24,13.33,25.7,-12.53,-18.87,Set needle
40.26,3.96,13.54,25.91,-12.64,-20.05,Set needle
40.94,4.15,14.43,25.25,-12.67,-18.3,Set needle
40.0,3.65,12.69,25.95,-12.73,-20.28,Set needle
41.69,4.3,15.8,26.42,-13.82,-23.53,Set needle
40.58,3.43,13.42,23.52,-13.3,-16.37,Set needle
41.41,3.21,14.3,23.6,-12.9,-15.45,Set needle
41.08,3.39,14.03,25.29,-13.24,-19.93,Set needle
40.0,2.67,11.52,22.26,-13.67,-14.22,Set needle
39.51,3.91,12.58,23.02,-12.84,-14.0,Set needle
39.53,4.05,12.35,23.11,-14.21,-18.46,Set needle
38.52,3.24,9.97,22.49,-14.5,-18.12,Set needle
36.89,2.41,6.47,20.82,-14.47,-14.23,Set needle
39.14,3.62,11.27,22.4,-14.28,-18.5,Set needle
39.71,4.11,12.61,19.08,-11.78,-12.41,Set needle
39.72,3.38,12.06,15.78,-11.37,-13.11,Set needle
39.96,4.96,14.6,16.09,-14.22,-20.48,Set needle
39.78,4.69,14.13,18.18,-12.91,-24.7,Set needle
39.78,4.69,14.13,14.16,-12.94,-19.53,Set needle
39.51,4.41,13.03,13.61,-13.28,-20.57,Set needle
40.23,4.66,14.31,15.51,-12.62,-22.53,Set needle
38.96,4.05,11.69,9.66,-13.54,-18.48,Set needle
39.33,4.49,12.68,9.38,-13.06,-17.48,Set needle
38.26,3.67,10.51,12.25,-13.76,-23.95,Set needle
39.01,3.77,11.79,12.94,-14.71,-29.01,Set needle
38.98,4.12,12.6,10.77,-12.7,-21.3,Set needle
39.64,3.9,13.55,10.91,-12.63,-24.84,Set needle
41.3,3.47,15.48,11.73,-9.97,-28.35,Set needle
41.91,3.82,17.1,10.33,-9.4,-27.15,Set needle
40.22,2.99,13.95,13.74,-9.13,-30.75,Set needle
40.54,2.3,13.55,9.82,-7.3,-24.91,Set needle
41.94,2.39,15.62,13.66,-8.25,-35.22,Set needle
41.31,1.84,14.0,14.31,-5.67,-32.84,Set needle
41.26,1.88,13.98,12.63,-5.57,-33.16,Set needle
40.98,1.6,13.33,11.24,-3.98,-27.5,Set needle
41.19,1.8,13.61,18.42,-8.88,-40.91,Set needle
42.43,2.14,15.81,16.38,-10.04,-26.59,Set needle
41.73,1.2,13.52,21.43,-11.13,-30.86,Set needle
42.03,1.97,14.89,19.28,-11.81,-21.48,Set needle
41.99,2.69,15.25,21.41,-10.64,-22.81,Set needle
40.06,1.74,10.94,21.08,-11.0,-21.91,Set needle
41.19,0.64,10.17,25.04,-14.94,-37.4,Set needle
29.39,-59.12,-87.19,26.68,-15.4,-42.09,Set needle
30.59,-58.08,-92.84,23.83,-12.68,-29.17,Set needle
30.99,-58.15,-93.67,21.56,-13.45,-26.07,Set needle
32.21,-58.39,-99.47,21.44,-12.48,-25.53,Set needle
41.61,3.81,14.16,19.77,-13.65,-25.25,Set needle
41.73,3.6,13.79,21.02,-13.66,-27.79,Set needle
