ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
51.79,-1.4,-22.5,-2.19,-10.04,-81.57,Seek needle
51.48,-1.29,-21.8,-1.97,-10.75,-83.76,Seek needle
50.08,-1.79,-22.75,-1.69,-11.11,-85.17,Seek needle
49.0,-3.09,-22.96,-1.34,-10.28,-84.96,Seek needle
48.7,-3.75,-21.79,-0.97,-10.42,-85.41,Seek needle
47.34,-4.56,-22.61,-2.64,-10.23,-83.49,Seek needle
49.71,-1.71,-15.93,-2.67,-10.94,-83.94,Seek needle
46.81,-3.94,-19.83,-3.37,-11.53,-83.73,Seek needle
46.31,-1.63,-16.9,-5.18,-10.8,-82.74,Seek needle
46.47,-0.66,-15.89,-6.95,-12.39,-84.27,Seek needle
43.71,-0.0,-19.39,-8.89,-13.19,-84.34,Seek needle
46.01,2.04,-17.22,-8.33,-14.61,-87.45,Seek needle
44.83,1.35,-21.71,-9.17,-15.73,-87.96,Seek needle
45.7,1.1,-22.83,-8.9,-15.43,-87.61,Seek needle
43.34,0.35,-27.02,-8.49,-15.66,-86.64,Seek needle
45.23,-0.19,-25.87,-6.09,-17.18,-87.92,Seek needle
45.15,1.16,-24.93,-6.18,-16.24,-82.51,Seek needle
43.67,1.0,-27.72,-4.76,-16.65,-80.53,Seek needle
47.91,3.06,-23.31,-3.73,-17.46,-78.83,Seek needle
46.73,3.3,-26.13,-2.43,-18.79,-78.36,Seek needle
49.34,3.47,-25.11,-2.66,-19.22,-76.21,Seek needle
49.14,1.71,-27.3,1.7,-21.38,-79.94,Seek needle
48.44,0.53,-28.58,3.22,-22.56,-77.1,Seek needle
50.05,2.36,-25.83,7.51,-25.33,-78.16,Seek needle
51.29,4.25,-24.46,9.66,-26.49,-74.71,Seek needle
54.52,4.81,-21.82,8.78,-25.1,-67.53,Seek needle
52.22,3.98,-26.44,9.32,-26.48,-70.43,Seek needle
53.32,4.82,-25.85,8.16,-25.45,-68.74,Seek needle
56.49,3.2,-25.06,7.51,-23.87,-69.1,Seek needle
59.65,1.62,-23.14,7.3,-25.55,-72.06,Seek needle
59.6,0.89,-20.25,5.74,-24.17,-62.08,Seek needle
59.03,2.17,-18.97,6.63,-26.38,-64.62,Seek needle
37.21,-65.26,-124.29,2.32,-23.81,-68.76,Seek needle
59.67,6.65,-10.14,2.88,-22.46,-71.91,Seek needle
57.85,4.37,-12.72,3.77,-22.83,-72.88,Seek needle
56.64,5.37,-12.16,4.18,-23.07,-72.99,Seek needle
59.21,9.17,-5.71,4.6,-24.04,-74.84,Seek needle
58.1,8.45,-7.41,1.9,-23.34,-70.48,Seek needle
57.56,7.12,-9.24,1.39,-23.33,-71.01,Seek needle
55.48,7.91,-11.33,0.18,-22.0,-70.29,Seek needle
54.86,7.55,-12.67,-0.69,-21.57,-70.87,Seek needle
53.01,5.38,-16.93,-1.72,-21.59,-71.37,Seek needle
53.74,7.49,-15.46,-3.91,-20.77,-69.12,Seek needle
54.97,8.23,-14.32,-3.48,-21.27,-71.72,Seek needle
54.01,8.12,-15.55,-4.41,-21.71,-71.64,Seek needle
56.91,8.47,-12.42,-2.12,-22.48,-75.49,Seek needle
55.4,8.77,-13.34,-3.26,-22.52,-74.15,Seek needle
54.25,7.34,-14.81,-3.59,-22.71,-74.68,Seek needle
52.43,7.98,-15.42,-4.45,-22.26,-73.91,Seek needle
50.86,7.07,-17.65,-5.74,-21.84,-73.53,Seek needle
52.7,10.37,-12.51,-6.41,-21.73,-74.33,Seek needle
51.26,10.27,-14.26,-7.31,-21.97,-73.94,Seek needle
50.79,11.62,-14.26,-7.27,-22.63,-74.67,Seek needle
50.71,10.84,-16.87,-6.79,-23.16,-76.39,Seek needle
51.69,12.78,-16.43,-8.87,-22.62,-73.87,Seek needle
50.94,11.96,-19.89,-7.0,-22.3,-75.37,Seek needle
52.8,11.89,-20.12,-5.58,-22.73,-76.29,Seek needle
53.93,10.85,-21.18,-4.58,-22.54,-77.1,Seek needle
52.13,9.06,-25.04,-4.72,-21.97,-76.38,Seek needle
54.95,9.2,-22.03,-1.69,-23.53,-81.37,Seek needle
53.46,8.89,-23.35,-1.84,-22.92,-80.51,Seek needle
59.59,13.03,-13.04,0.84,-24.37,-84.16,Seek needle
59.3,10.96,-14.56,-0.06,-25.82,-84.55,Seek needle
56.57,10.12,-17.68,-0.88,-25.92,-85.06,Seek needle
56.33,9.42,-18.73,-2.01,-25.96,-85.2,Seek needle
57.17,9.66,-17.89,-1.98,-26.4,-87.28,Seek needle
57.01,10.71,-17.33,-2.63,-25.79,-86.71,Seek needle
57.69,11.32,-16.16,-2.01,-25.08,-86.94,Seek needle
55.61,10.74,-18.68,-2.64,-23.92,-84.94,Seek needle
56.89,9.75,-17.27,-3.44,-22.96,-83.41,Seek needle
54.98,8.52,-18.54,-4.44,-22.25,-81.9,Seek needle
53.82,9.04,-17.48,-5.6,-22.27,-81.42,Seek needle
53.02,9.39,-17.66,-6.98,-21.64,-81.16,Seek needle
