ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
13.22,-3.45,-74.09,-20.2,-13.61,-81.25,Seek needle
13.16,-4.83,-73.95,-20.45,-12.86,-76.99,Seek needle
16.23,-6.76,-71.3,-17.46,-13.63,-76.47,Seek needle
18.24,-8.23,-69.11,-16.01,-13.89,-74.34,Seek needle
17.21,-10.9,-70.31,-14.21,-14.01,-73.76,Seek needle
17.2,-12.77,-69.31,-16.57,-11.93,-67.7,Seek needle
17.84,-14.14,-67.15,-14.97,-12.84,-70.15,Seek needle
18.38,-15.62,-65.55,-14.91,-12.85,-70.95,Seek needle
20.31,-16.01,-61.94,-15.78,-12.41,-70.46,Seek needle
20.09,-17.92,-62.18,-15.95,-11.18,-69.69,Seek needle
19.38,-18.53,-62.1,-16.07,-10.52,-68.99,Seek needle
20.57,-18.49,-59.12,-17.19,-10.16,-67.62,Seek needle
21.4,-19.14,-57.44,-16.14,-9.76,-67.92,Seek needle
21.16,-19.59,-57.0,-15.5,-9.67,-68.01,Seek needle
21.64,-19.42,-55.66,-14.88,-10.3,-68.25,Seek needle
20.87,-20.33,-57.26,-14.66,-10.24,-67.46,Seek needle
21.32,-20.35,-56.6,-14.51,-9.96,-66.63,Seek needle
22.52,-19.85,-54.75,-14.97,-9.72,-65.57,Seek needle
21.44,-19.42,-55.6,-14.32,-10.75,-67.0,Seek needle
23.2,-19.16,-53.61,-14.89,-10.68,-66.25,Seek needle
21.81,-18.56,-55.01,-13.33,-11.67,-68.88,Seek needle
21.95,-17.63,-54.19,-12.72,-11.63,-69.6,Seek needle
20.95,-18.33,-56.3,-13.2,-11.43,-68.85,Seek needle
21.78,-16.9,-53.91,-12.01,-11.7,-70.19,Seek needle
22.26,-16.73,-53.17,-12.92,-11.58,-68.82,Seek needle
21.37,-17.13,-54.61,-13.04,-11.01,-67.85,Seek needle
20.41,-17.53,-55.67,-13.05,-11.28,-67.01,Seek needle
20.17,-16.85,-54.81,-12.04,-11.68,-66.9,Seek needle
19.67,-17.31,-55.26,-12.05,-12.11,-65.31,Seek needle
20.38,-15.85,-51.97,-11.94,-12.16,-63.05,Seek needle
20.35,-15.84,-51.1,-10.61,-12.61,-62.72,Seek needle
19.61,-15.02,-50.03,-9.29,-13.09,-61.99,Seek needle
19.0,-13.71,-48.03,-8.58,-13.43,-60.09,Seek needle
18.59,-12.69,-46.03,-5.46,-13.95,-62.02,Seek needle
17.42,-12.95,-46.22,-4.98,-13.11,-59.82,Seek needle
15.63,-11.72,-45.73,-4.88,-12.37,-58.03,Seek needle
15.98,-10.0,-41.62,-2.18,-13.04,-62.17,Seek needle
13.49,-11.36,-44.54,-3.78,-11.61,-58.56,Seek needle
13.15,-10.07,-41.74,-5.53,-11.1,-55.42,Seek needle
12.31,-9.39,-41.26,-3.95,-10.51,-57.46,Seek needle
11.28,-8.87,-41.0,-4.34,-9.65,-55.91,Seek needle
10.49,-7.67,-39.82,-4.92,-9.35,-54.58,Seek needle
10.12,-6.19,-38.45,-4.27,-9.54,-56.32,Seek needle
11.36,-5.43,-35.66,-4.23,-8.29,-55.07,Seek needle
11.25,-3.77,-33.57,-5.98,-7.39,-51.85,Seek needle
11.32,-2.12,-31.2,-4.65,-6.84,-53.37,Seek needle
9.02,-3.15,-35.16,-4.7,-6.14,-52.45,Seek needle
10.06,-1.4,-31.04,-4.07,-5.24,-52.58,Seek needle
8.96,-0.58,-31.46,-4.55,-4.23,-50.95,Seek needle
9.58,0.67,-29.19,-3.91,-3.87,-51.7,Seek needle
9.78,0.55,-29.04,-2.57,-3.99,-53.94,Seek needle
9.12,1.4,-29.01,-3.24,-2.73,-51.93,Seek needle
9.87,2.17,-27.39,-2.59,-2.27,-52.62,Seek needle
10.3,3.54,-25.57,-2.33,-0.84,-51.92,Seek needle
9.74,3.65,-25.92,-2.26,0.44,-50.25,Seek needle
9.33,3.77,-26.23,-2.86,-0.15,-49.39,Seek needle
10.35,5.01,-23.66,-0.7,0.27,-51.79,Seek needle
9.98,5.69,-23.55,-1.57,-0.45,-50.8,Seek needle
10.02,5.39,-23.75,-0.05,-1.2,-54.4,Seek needle
8.71,6.06,-24.94,-2.87,-2.32,-52.06,Seek needle
9.06,6.0,-24.98,-0.33,-3.27,-57.43,Seek needle
9.49,7.1,-23.79,-1.05,-3.46,-57.3,Seek needle
10.06,6.36,-24.06,-2.81,-1.7,-54.61,Seek needle
9.83,6.44,-24.48,-4.04,-1.85,-53.97,Seek needle
9.83,7.19,-23.69,-5.15,-1.3,-52.99,Seek needle
10.1,7.9,-22.59,-4.63,-0.49,-53.1,Seek needle
9.99,8.17,-22.45,-4.16,0.94,-51.94,Seek needle
9.74,7.04,-23.98,-3.84,1.38,-51.6,Seek needle
9.38,7.94,-23.59,-4.08,1.82,-50.35,Seek needle
8.88,7.49,-24.8,-2.6,0.72,-52.85,Seek needle
8.99,6.95,-25.13,-3.57,0.84,-51.11,Seek needle
7.88,7.43,-26.16,-3.78,1.13,-50.25,Seek needle
7.46,6.96,-26.79,-3.72,0.63,-50.43,Seek needle
9.98,8.26,-22.38,-3.51,0.51,-50.58,Seek needle
8.96,8.22,-23.79,-4.38,-0.65,-50.22,Seek needle
10.09,8.36,-23.01,-2.82,-0.45,-52.4,Seek needle
9.59,8.56,-23.51,-3.69,-0.92,-51.78,Seek needle
10.26,9.01,-22.84,-2.46,-0.86,-54.06,Seek needle
10.2,9.27,-22.69,-4.79,-0.3,-50.45,Seek needle
9.34,8.49,-24.66,-4.15,0.19,-51.25,Seek needle
9.6,8.93,-23.83,-5.34,0.26,-48.96,Seek needle
9.61,9.89,-23.02,-6.03,0.54,-47.34,Seek needle
10.77,10.57,-20.83,-6.63,0.25,-46.4,Seek needle
10.05,11.44,-21.2,-4.11,-1.04,-51.25,Seek needle
10.37,11.13,-20.9,-4.89,-0.58,-50.03,Seek needle
8.44,8.64,-25.42,-3.52,0.25,-51.06,Seek needle
8.34,7.69,-26.54,-5.31,0.88,-48.11,Seek needle
8.02,8.16,-25.78,-3.93,0.51,-50.14,Seek needle
7.48,6.7,-27.99,-4.34,0.73,-49.13,Seek needle
8.18,7.4,-26.39,-4.12,0.91,-49.36,Seek needle
10.26,9.71,-20.98,-5.37,0.42,-47.84,Seek needle
9.98,8.97,-22.9,-5.84,0.77,-46.51,Seek needle
9.01,9.42,-23.98,-5.04,0.84,-47.98,Seek needle
8.61,9.28,-24.28,-6.2,-0.34,-47.84,Seek needle
8.72,8.85,-24.56,-4.38,-0.13,-50.43,Seek needle
8.59,9.67,-23.8,-4.88,0.1,-49.55,Seek needle
8.56,9.32,-24.21,-5.87,0.46,-47.89,Seek needle
8.34,9.29,-24.62,-4.8,0.84,-48.83,Seek needle
7.89,8.58,-25.77,-4.22,1.58,-48.86,Seek needle
6.62,7.0,-29.19,-3.16,0.77,-51.32,Seek needle
6.42,6.75,-29.74,-3.18,1.14,-50.81,Seek needle
9.38,9.06,-23.42,-3.73,1.27,-50.14,Seek needle
8.38,8.95,-24.53,-5.11,1.87,-47.39,Seek needle
10.0,9.48,-22.09,-5.12,2.1,-46.83,Seek needle
8.83,8.86,-24.12,-3.21,1.62,-49.52,Seek needle
8.15,8.82,-25.05,-5.65,1.9,-45.81,Seek needle
8.98,9.37,-23.61,-6.95,1.96,-43.83,Seek needle
8.83,9.64,-23.52,-4.11,1.58,-48.12,Seek needle
8.6,9.56,-24.13,-4.29,1.29,-48.23,Seek needle
9.9,9.19,-23.66,-4.18,1.36,-48.28,Seek needle
10.45,9.52,-22.85,-3.91,1.64,-48.55,Seek needle
9.63,9.36,-24.01,-3.47,0.96,-49.73,Seek needle
10.19,9.04,-23.82,-3.59,0.94,-49.78,Seek needle
9.43,9.08,-24.57,-4.19,1.45,-48.55,Seek needle
9.91,9.26,-24.38,-3.4,1.46,-49.51,Seek needle
11.37,8.56,-23.09,-4.01,1.67,-48.34,Seek needle
9.96,9.14,-23.99,-3.57,1.32,-49.26,Seek needle
9.05,7.04,-27.55,-5.85,1.67,-45.77,Seek needle
11.52,7.96,-23.44,-3.26,1.43,-49.77,Seek needle
11.86,8.27,-22.74,-3.82,2.0,-48.78,Seek needle
10.94,8.19,-24.17,-2.96,1.48,-50.17,Seek needle
10.31,7.97,-25.18,-4.09,1.52,-49.15,Seek needle
8.73,5.91,-29.58,-2.58,1.4,-51.46,Seek needle
9.41,6.14,-28.65,-2.39,0.9,-52.23,Seek needle
9.49,6.5,-28.11,-2.02,0.7,-52.91,Seek needle
9.93,7.1,-27.11,-2.11,1.03,-52.48,Seek needle
7.71,5.14,-32.22,-3.12,1.42,-50.77,Seek needle
11.22,6.17,-27.05,-3.33,1.07,-51.23,Seek needle
10.0,6.4,-28.37,-2.97,1.19,-51.41,Seek needle
10.77,6.94,-27.38,-3.92,1.24,-50.27,Seek needle
10.73,6.05,-28.53,-3.43,1.06,-51.1,Seek needle
10.88,6.64,-27.77,-4.28,0.91,-50.28,Seek needle
9.12,5.42,-31.0,-3.41,1.28,-51.31,Seek needle
9.31,5.59,-30.62,-4.38,1.33,-49.83,Seek needle
11.58,7.88,-25.39,-7.04,2.64,-44.86,Seek needle
12.16,7.83,-24.39,-5.45,2.35,-47.17,Seek needle
11.6,7.02,-26.03,-3.36,1.95,-50.1,Seek needle
12.07,8.01,-24.51,-4.34,1.72,-49.16,Seek needle
11.72,8.43,-24.54,-6.32,2.38,-45.15,Seek needle
11.86,7.9,-25.21,-5.84,2.19,-46.19,Seek needle
11.53,8.28,-25.33,-4.11,1.73,-48.83,Seek needle
10.83,8.12,-26.47,-4.86,2.18,-46.63,Seek needle
10.67,7.59,-27.24,-3.51,1.8,-48.75,Seek needle
11.67,8.02,-25.43,-3.66,1.85,-48.13,Seek needle
10.98,7.2,-27.25,-2.93,1.64,-49.51,Seek needle
11.85,7.82,-25.65,-3.1,0.79,-50.15,Seek needle
10.88,6.06,-28.28,-3.16,1.52,-48.75,Seek needle
10.58,5.51,-29.48,-4.82,1.71,-46.26,Seek needle
10.45,5.63,-29.58,-4.96,1.4,-46.28,Seek needle
11.18,7.14,-27.39,-4.01,1.22,-47.87,Seek needle
11.83,7.4,-26.46,-4.95,0.77,-47.1,Seek needle
10.12,6.06,-29.68,-4.93,1.35,-46.74,Seek needle
10.83,6.77,-28.08,-3.66,0.83,-49.48,Seek needle
12.74,8.0,-24.52,-2.14,-0.4,-52.73,Seek needle
12.95,7.22,-24.98,-2.79,0.56,-50.89,Seek needle
12.88,7.18,-25.11,-3.57,1.37,-48.66,Seek needle
12.61,7.89,-24.84,-3.62,2.12,-47.76,Seek needle
12.98,7.6,-24.69,-4.07,1.66,-47.19,Seek needle
10.45,5.67,-30.0,-1.55,-0.09,-52.13,Seek needle
