ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
27.72,11.52,-67.68,-15.18,-6.94,-52.21,Seek needle
30.64,11.95,-64.29,-14.77,-6.48,-49.31,Seek needle
30.57,11.25,-63.68,-13.18,-6.11,-49.01,Seek needle
31.92,11.67,-61.98,-15.91,-3.42,-40.79,Seek needle
29.41,11.66,-64.33,-12.82,-4.48,-44.02,Seek needle
32.44,12.28,-61.68,-14.43,-2.94,-39.04,Seek needle
32.38,11.97,-63.02,-14.29,-2.24,-38.1,Seek needle
31.18,11.89,-66.03,-15.23,-2.85,-37.43,Seek needle
33.5,15.5,-61.6,-13.78,-5.44,-42.48,Seek needle
28.94,12.86,-66.42,-15.19,-3.88,-39.93,Seek needle
26.66,13.14,-67.26,-17.64,-1.59,-34.87,Seek needle
25.59,11.58,-69.81,-14.37,1.81,-34.41,Seek needle
25.29,11.81,-69.9,-13.58,2.22,-35.42,Seek needle
24.03,10.23,-72.66,-16.61,4.18,-30.62,Seek needle
26.6,9.46,-69.34,-17.37,5.78,-30.19,Seek needle
29.5,9.68,-65.89,-19.15,7.63,-28.71,Seek needle
31.53,7.45,-64.72,-16.4,8.46,-34.38,Seek needle
31.73,5.55,-63.12,-19.09,11.64,-27.9,Seek needle
31.91,5.13,-60.85,-16.45,9.73,-33.76,Seek needle
30.14,6.02,-59.79,-15.12,11.57,-36.77,Seek needle
30.79,6.89,-56.14,-7.07,9.28,-53.37,Seek needle
29.91,6.62,-55.49,-11.94,10.66,-50.35,Seek needle
30.13,7.26,-53.68,-13.14,12.71,-47.97,Seek needle
32.23,8.21,-50.35,-8.1,13.98,-49.76,Seek needle
31.7,6.47,-52.11,-6.91,15.32,-47.11,Seek needle
33.51,8.79,-49.55,-7.91,17.62,-41.17,Seek needle
36.93,11.85,-45.52,0.15,15.1,-49.15,Seek needle
36.19,11.39,-47.12,-1.84,22.13,-38.8,Seek needle
36.46,9.84,-48.12,-1.38,21.13,-39.3,Seek needle
37.25,9.82,-47.08,0.03,21.74,-40.9,Seek needle
41.08,13.38,-40.18,1.51,21.57,-42.8,Seek needle
37.12,11.28,-45.55,0.58,21.63,-40.43,Seek needle
42.69,11.51,-40.46,-0.97,23.88,-35.61,Seek needle
42.63,9.72,-41.99,0.71,23.95,-37.05,Seek needle
38.39,6.87,-47.82,-0.79,25.75,-31.82,Seek needle
43.11,7.01,-41.36,3.99,21.82,-41.13,Seek needle
42.37,7.6,-38.17,0.89,23.03,-35.76,Seek needle
41.76,9.04,-39.09,2.18,18.62,-42.68,Seek needle
36.93,11.49,-39.94,1.24,20.78,-40.41,Seek needle
37.59,8.68,-45.48,-0.36,24.08,-35.25,Seek needle
38.83,8.74,-45.42,-0.3,29.45,-28.79,Seek needle
41.69,9.72,-41.86,6.57,27.52,-36.52,Seek needle
41.22,9.77,-42.1,5.74,29.56,-31.18,Seek needle
43.32,10.96,-39.82,4.84,29.29,-30.41,Seek needle
42.69,10.49,-42.05,1.79,29.74,-22.88,Seek needle
43.01,10.51,-42.27,5.92,22.26,-37.24,Seek needle
42.93,10.24,-42.7,-2.33,24.9,-26.29,Seek needle
42.69,12.03,-41.32,-0.04,26.51,-26.46,Seek needle
44.39,11.66,-38.99,-4.7,26.55,-20.01,Seek needle
42.46,11.87,-39.95,-3.74,25.99,-20.93,Seek needle
43.13,11.51,-38.98,-5.7,24.95,-18.24,Seek needle
43.93,10.71,-38.69,0.54,20.56,-27.63,Seek needle
44.94,11.71,-37.21,-1.38,24.44,-17.31,Seek needle
45.86,10.89,-37.77,10.21,19.97,-35.21,Seek needle
43.6,9.12,-41.76,9.82,18.49,-30.1,Seek needle
44.19,9.08,-41.66,16.77,19.97,-34.25,Seek needle
42.42,8.61,-43.84,15.28,18.99,-33.47,Seek needle
41.49,7.15,-45.77,13.8,17.66,-36.1,Seek needle
44.14,8.99,-41.79,12.97,16.99,-36.81,Seek needle
43.04,7.61,-44.06,11.48,19.25,-36.59,Seek needle
41.5,5.58,-47.0,10.72,19.03,-40.84,Seek needle
41.81,5.25,-47.18,12.22,20.2,-41.87,Seek needle
41.43,6.07,-46.98,11.16,19.94,-41.5,Seek needle
38.98,4.24,-50.99,10.93,21.39,-42.79,Seek needle
42.42,4.48,-47.64,3.44,21.43,-35.46,Seek needle
43.27,4.69,-46.74,1.76,23.64,-34.47,Seek needle
42.93,4.52,-47.18,6.3,21.74,-42.63,Seek needle
41.97,5.18,-47.61,1.9,24.2,-31.35,Seek needle
43.8,5.72,-45.41,4.65,21.74,-32.18,Seek needle
41.29,5.01,-48.28,11.48,20.34,-36.91,Seek needle
44.31,6.25,-44.68,8.71,21.76,-25.75,Seek needle
44.27,6.65,-44.47,12.14,20.79,-26.35,Seek needle
43.15,5.61,-46.16,10.62,25.82,-16.49,Seek needle
41.67,5.76,-47.58,11.77,23.7,-19.24,Seek needle
41.72,5.18,-47.91,12.63,23.07,-17.73,Seek needle
42.13,5.61,-47.17,15.21,21.52,-24.43,Seek needle
42.43,5.53,-46.89,14.12,17.99,-27.78,Seek needle
40.45,4.54,-49.81,10.21,19.59,-20.45,Seek needle
40.64,4.72,-49.56,13.87,20.22,-27.9,Seek needle
43.1,5.99,-46.51,10.18,20.63,-23.1,Seek needle
44.24,6.75,-44.98,11.23,23.06,-22.7,Seek needle
43.75,6.09,-45.95,10.95,22.27,-24.73,Seek needle
43.97,6.29,-45.69,9.8,26.04,-20.78,Seek needle
43.79,6.41,-45.88,13.36,27.34,-24.93,Seek needle
41.97,5.61,-48.27,12.25,27.99,-22.98,Seek needle
41.75,5.44,-48.63,10.02,27.23,-21.59,Seek needle
40.82,5.34,-49.43,9.37,28.07,-19.86,Seek needle
43.03,6.28,-46.29,8.97,29.6,-17.92,Seek needle
42.98,5.86,-46.47,9.63,31.54,-16.57,Seek needle
43.06,6.23,-45.85,9.3,33.97,-14.0,Seek needle
43.08,6.49,-45.31,8.26,34.33,-11.47,Seek needle
42.65,6.17,-46.27,8.61,33.15,-12.32,Seek needle
42.73,5.77,-46.1,7.79,33.28,-10.75,Seek needle
42.95,6.39,-45.45,9.54,33.52,-13.13,Seek needle
43.04,6.73,-45.0,9.31,33.35,-13.05,Seek needle
43.02,7.04,-44.66,8.2,32.36,-12.17,Seek needle
42.84,6.95,-44.69,9.12,33.04,-13.04,Seek needle
40.58,5.73,-47.52,9.37,32.64,-13.97,Seek needle
40.06,5.43,-48.15,8.44,33.34,-11.77,Seek needle
41.25,5.78,-46.65,6.91,31.61,-11.07,Seek needle
40.33,6.11,-47.14,9.72,31.41,-15.36,Seek needle
39.86,6.08,-47.82,9.41,31.74,-14.89,Seek needle
40.57,6.48,-46.93,7.86,30.9,-12.73,Seek needle
40.32,7.14,-46.89,8.21,31.5,-12.06,Seek needle
40.72,7.6,-46.26,9.86,31.87,-14.24,Seek needle
40.17,7.38,-46.96,9.76,31.23,-14.57,Seek needle
41.74,9.39,-44.17,10.14,30.93,-14.85,Seek needle
41.08,8.67,-45.24,9.2,31.06,-12.95,Seek needle
42.74,8.83,-43.71,9.01,29.96,-13.13,Seek needle
42.43,8.8,-43.89,11.5,29.34,-17.51,Seek needle
42.89,9.24,-43.07,12.96,30.2,-18.69,Seek needle
42.47,9.66,-43.06,8.66,30.58,-10.42,Seek needle
40.74,10.1,-44.3,11.23,27.74,-16.7,Seek needle
40.16,9.78,-45.41,10.56,28.0,-15.02,Grasp needle
40.94,9.36,-44.96,11.97,26.95,-18.18,Grasp needle
39.03,9.29,-46.8,12.67,27.02,-19.16,Grasp needle
38.92,9.4,-47.13,10.92,26.81,-15.89,Grasp needle
39.99,9.31,-46.19,13.46,26.56,-20.86,Grasp needle
39.44,10.17,-46.31,13.36,26.55,-20.51,Grasp needle
38.85,10.06,-46.99,12.59,25.64,-18.76,Grasp needle
39.97,10.17,-46.02,19.08,20.24,-33.44,Grasp needle
40.89,12.17,-43.8,15.32,20.61,-18.68,Grasp needle
38.64,11.36,-46.15,17.73,14.52,-19.61,Grasp needle
39.73,12.97,-44.13,22.26,12.32,-17.41,Grasp needle
36.67,13.14,-46.79,27.28,10.8,-22.32,Grasp needle
31.05,7.92,-54.95,28.43,9.73,-24.92,Grasp needle
28.02,5.57,-57.86,26.02,10.01,-25.53,Grasp needle
31.86,7.44,-50.61,23.79,11.25,-25.24,Grasp needle
30.31,6.15,-49.5,25.49,9.52,-34.1,Grasp needle
28.91,3.42,-49.4,26.94,8.89,-38.6,Grasp needle
30.16,1.63,-45.59,24.9,10.56,-35.89,Grasp needle
30.1,-1.14,-44.9,21.3,12.3,-32.18,Grasp needle
30.02,-5.36,-45.84,20.92,11.33,-37.81,Grasp needle
29.44,-7.65,-46.8,21.52,11.05,-40.95,Grasp needle
28.86,-10.18,-49.22,15.07,11.47,-32.47,Grasp needle
30.14,-11.44,-49.69,19.57,13.13,-37.24,Grasp needle
34.77,-10.7,-46.67,22.32,10.01,-42.7,Grasp needle
33.69,-10.02,-50.6,18.33,10.37,-31.92,Grasp needle
36.12,-9.15,-49.5,17.33,9.29,-29.85,Grasp needle
38.28,-6.04,-45.57,19.24,9.1,-30.32,Grasp needle
39.7,-2.2,-41.78,20.6,6.86,-32.01,Grasp needle
39.59,1.42,-38.98,22.36,4.67,-36.38,Grasp needle
40.26,4.38,-31.96,26.68,1.72,-44.7,Grasp needle
37.8,5.91,-28.31,22.56,4.11,-31.43,Grasp needle
31.42,4.01,-32.01,21.03,2.71,-28.5,Grasp needle
26.8,10.17,-26.31,22.99,2.53,-32.22,Grasp needle
23.89,16.13,-16.49,21.68,0.25,-33.02,Grasp needle
23.58,20.53,-13.46,23.24,-1.17,-41.41,Grasp needle
17.11,19.95,-19.68,21.34,0.68,-36.72,Grasp needle
22.64,33.77,-5.75,22.79,0.7,-43.78,Grasp needle
20.65,-31.56,-101.85,22.9,-0.26,-47.67,Grasp needle
19.42,63.85,-23.26,20.42,2.02,-44.11,Grasp needle
11.78,-20.68,-104.42,21.94,1.84,-49.64,Grasp needle
-13.94,41.43,-58.15,20.22,1.53,-50.35,Grasp needle
-17.87,44.43,-56.64,17.89,4.41,-44.62,Grasp needle
-13.62,44.61,-51.95,18.1,7.5,-39.36,Grasp needle
-12.36,45.0,-50.92,17.7,8.0,-36.31,Grasp needle
-10.96,44.78,-50.8,17.49,7.71,-36.19,Grasp needle
-5.39,49.07,-47.62,18.45,7.16,-37.48,Grasp needle
11.12,54.55,-37.63,19.39,5.82,-40.75,Grasp needle
12.89,45.07,-48.47,20.49,4.29,-44.88,Grasp needle
15.56,39.94,-55.15,18.34,4.69,-40.77,Grasp needle
17.63,30.0,-65.91,19.2,4.96,-41.59,Grasp needle
27.32,49.46,-49.54,17.53,3.98,-39.87,Grasp needle
8.71,-64.17,-134.61,19.46,3.51,-44.7,Grasp needle
4.87,-61.68,-135.34,17.46,5.27,-36.84,Grasp needle
17.48,26.24,-67.4,20.34,3.54,-43.57,Grasp needle
14.26,21.76,-69.1,18.27,3.05,-40.96,Grasp needle
14.39,18.79,-68.63,19.72,2.65,-43.71,Grasp needle
17.28,19.29,-61.81,19.45,3.54,-41.76,Grasp needle
19.13,19.86,-57.09,20.35,2.59,-43.73,Grasp needle
23.94,21.57,-49.38,20.04,1.79,-43.89,Grasp needle
24.78,19.12,-49.45,20.79,-0.93,-49.19,Grasp needle
20.26,11.21,-57.3,19.92,-3.06,-52.6,Grasp needle
22.13,12.36,-51.05,19.55,-3.65,-53.84,Grasp needle
23.27,10.11,-45.54,21.6,-4.67,-58.81,Grasp needle
22.31,9.92,-38.62,20.14,-1.13,-51.55,Grasp needle
20.62,7.98,-36.3,21.73,-3.43,-55.38,Grasp needle
17.95,5.43,-38.04,20.48,-1.65,-46.88,Grasp needle
16.03,5.48,-38.58,26.13,-6.55,-60.22,Grasp needle
16.73,4.72,-37.78,22.17,-3.04,-44.53,Grasp needle
17.72,4.69,-40.66,25.15,-5.26,-49.99,Grasp needle
20.39,4.49,-41.53,22.84,-5.88,-45.06,Grasp needle
21.37,4.47,-38.67,21.92,-6.05,-42.82,Grasp needle
25.3,6.46,-31.04,20.12,-6.75,-42.12,Grasp needle
27.39,2.59,-32.12,20.71,-7.66,-45.46,Grasp needle
32.88,3.72,-26.22,19.49,-7.54,-43.87,Grasp needle
39.11,3.85,-22.16,20.69,-6.02,-43.93,Grasp needle
45.34,3.38,-18.8,22.26,-9.63,-52.74,Grasp needle
44.7,0.73,-22.26,22.6,-9.47,-49.75,Grasp needle
43.48,-1.03,-24.85,20.32,-7.41,-39.83,Grasp needle
45.94,-0.14,-18.82,18.6,-7.81,-36.96,Grasp needle
50.53,3.88,-7.59,21.2,-9.94,-43.76,Grasp needle
47.5,2.78,-11.93,21.47,-10.16,-43.05,Grasp needle
47.5,3.48,-11.51,23.74,-11.02,-46.28,Grasp needle
46.38,4.31,-12.07,24.47,-11.9,-46.41,Grasp needle
49.22,7.7,-4.77,25.44,-12.21,-47.48,Grasp needle
46.8,7.16,-6.93,24.36,-12.62,-45.22,Grasp needle
48.49,11.17,0.25,25.15,-13.16,-48.62,Grasp needle
45.94,11.49,-1.45,23.03,-12.26,-42.07,Grasp needle
45.64,12.84,1.77,24.65,-11.88,-44.17,Grasp needle
41.23,15.32,0.71,24.93,-13.32,-44.61,Grasp needle
40.38,15.8,1.18,23.57,-13.33,-40.5,Grasp needle
40.67,20.47,6.44,23.95,-14.9,-42.04,Grasp needle
39.65,21.44,6.62,24.84,-13.26,-39.7,Grasp needle
36.51,18.79,0.57,23.8,-14.21,-37.88,Grasp needle
38.36,21.94,7.38,24.36,-13.52,-36.69,Grasp needle
37.83,21.9,7.6,24.44,-13.96,-36.53,Grasp needle
34.35,21.45,2.74,24.58,-15.0,-38.88,Grasp needle
38.69,24.99,11.09,24.32,-13.99,-34.19,Grasp needle
38.43,24.94,10.77,25.64,-14.91,-37.22,Grasp needle
37.26,25.84,10.12,24.63,-14.94,-33.56,Grasp needle
37.25,25.9,9.71,24.28,-15.61,-34.01,Grasp needle
37.52,26.69,10.6,24.63,-15.82,-35.34,Grasp needle
37.58,27.38,10.83,25.59,-16.26,-38.21,Grasp needle
37.17,23.22,7.45,25.61,-15.57,-35.81,Grasp needle
36.06,16.87,3.05,26.14,-15.65,-36.55,Grasp needle
34.4,14.06,2.78,24.45,-17.3,-36.5,Grasp needle
33.32,7.21,-1.1,24.0,-17.9,-37.77,Grasp needle
33.68,4.31,-0.2,24.34,-17.0,-38.28,Grasp needle
36.36,2.73,3.34,24.63,-17.25,-39.56,Grasp needle
35.46,3.0,3.67,24.92,-16.65,-38.85,Grasp needle
35.82,2.52,3.8,25.01,-15.92,-36.95,Grasp needle
36.4,2.85,4.79,25.14,-16.3,-37.93,Grasp needle
38.16,2.01,5.7,21.43,-16.41,-30.82,Grasp needle
40.31,1.09,6.81,21.82,-16.44,-32.79,Grasp needle
39.85,-0.38,3.48,22.23,-16.62,-34.49,Grasp needle
40.17,-0.42,2.2,22.14,-16.55,-34.73,Grasp needle
38.46,-1.83,-3.03,21.47,-15.63,-30.57,Grasp needle
39.79,0.01,-1.43,26.2,-17.61,-44.5,Grasp needle
34.93,-2.75,-13.05,24.33,-17.35,-38.86,Grasp needle
37.3,-2.98,-12.75,22.68,-17.96,-37.31,Grasp needle
37.91,-4.23,-13.41,24.01,-18.99,-41.73,Grasp needle
36.32,-6.58,-15.09,23.37,-16.8,-36.25,Grasp needle
35.68,-6.23,-15.29,20.88,-15.24,-26.91,Grasp needle
35.06,-6.75,-16.28,22.05,-15.78,-28.85,Grasp needle
34.0,-6.42,-16.5,21.25,-16.11,-27.0,Grasp needle
32.68,-5.11,-17.68,22.34,-16.75,-30.66,Grasp needle
33.28,-5.47,-16.85,24.13,-17.54,-36.2,Grasp needle
32.48,-3.53,-12.58,23.08,-17.57,-34.15,Grasp needle
29.32,-3.4,-14.89,21.97,-17.07,-30.53,Grasp needle
27.12,-4.11,-18.42,23.16,-16.82,-32.72,Grasp needle
