ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
40.48,-4.26,-53.38,22.05,-5.82,-70.26,Seek needle
40.81,-3.71,-52.67,20.92,-5.94,-68.06,Seek needle
40.47,-5.4,-54.15,22.83,-7.56,-75.46,Seek needle
39.48,-4.66,-54.48,19.5,-4.62,-74.5,Seek needle
39.78,-4.57,-54.21,18.16,-6.72,-76.21,Seek needle
39.65,-4.89,-54.6,19.64,-5.39,-74.85,Seek needle
38.52,-5.36,-56.07,20.38,-5.5,-72.17,Seek needle
39.1,-5.08,-55.31,18.74,-8.42,-73.76,Seek needle
39.29,-4.84,-54.92,21.11,-14.4,-85.05,Seek needle
39.15,-5.03,-55.17,17.97,-10.34,-70.56,Seek needle
39.22,-5.08,-55.17,15.88,-14.19,-71.49,Seek needle
38.8,-5.73,-55.83,9.24,-7.19,-57.56,Seek needle
39.21,-4.56,-54.53,7.84,-6.78,-58.86,Seek needle
39.76,-4.88,-53.92,6.14,-4.88,-59.03,Seek needle
39.14,-5.38,-54.7,-1.06,-2.24,-54.0,Seek needle
37.71,-7.59,-58.06,-1.62,-4.93,-60.8,Seek needle
39.05,-6.29,-56.21,-7.29,-2.52,-57.77,Seek needle
38.53,-6.25,-56.76,-8.81,-4.94,-59.64,Seek needle
39.13,-5.33,-55.62,-10.12,-1.78,-55.53,Seek needle
39.55,-4.9,-54.91,-12.21,-1.17,-50.55,Seek needle
39.05,-5.8,-55.97,-11.11,-3.55,-54.29,Seek needle
38.25,-6.55,-57.68,-14.7,-1.82,-47.34,Seek needle
39.21,-5.22,-55.65,-12.47,-3.24,-51.3,Seek needle
39.16,-5.47,-56.03,-10.16,-5.4,-58.06,Seek needle
39.42,-4.81,-55.34,-11.28,-6.35,-59.75,Seek needle
39.03,-5.1,-55.93,-12.86,-4.2,-55.74,Seek needle
37.71,-6.14,-57.98,-9.36,-6.07,-59.33,Seek needle
37.39,-6.93,-58.69,-14.95,-5.16,-51.82,Seek needle
38.06,-6.48,-57.62,-12.56,-5.87,-57.96,Seek needle
38.06,-6.48,-57.62,-15.73,-3.35,-56.24,Seek needle
38.17,-7.24,-58.08,-15.97,-4.02,-61.71,Seek needle
37.57,-6.09,-56.94,-16.43,-4.64,-65.15,Seek needle
36.5,-6.94,-57.72,-15.83,-5.49,-67.15,Seek needle
36.1,-7.67,-57.87,-19.09,-0.81,-59.35,Seek needle
35.66,-6.56,-56.43,-24.3,1.16,-51.79,Seek needle
34.84,-6.67,-56.7,-18.91,0.28,-57.16,Seek needle
35.45,-6.51,-55.85,-16.66,-0.44,-58.22,Seek needle
35.93,-5.35,-54.49,-16.67,-1.41,-59.45,Seek needle
34.49,-6.66,-57.3,-18.91,-0.48,-56.11,Seek needle
37.47,-5.49,-53.84,-15.27,-0.87,-60.96,Seek needle
36.65,-5.96,-55.11,-17.13,-0.53,-58.44,Seek needle
37.14,-5.65,-54.41,-14.29,-1.35,-61.96,Seek needle
36.86,-5.79,-54.84,-15.09,-2.05,-61.38,Seek needle
37.54,-5.38,-53.76,-11.87,-4.61,-67.41,Seek needle
37.64,-5.59,-53.97,-16.82,-0.76,-58.77,Seek needle
38.05,-5.25,-53.13,-15.93,-0.15,-58.68,Seek needle
36.58,-6.05,-55.05,-14.51,-0.6,-58.99,Seek needle
36.85,-6.04,-54.47,-12.75,-0.98,-59.81,Seek needle
36.72,-6.24,-54.76,-10.3,-2.13,-63.04,Seek needle
37.56,-4.93,-53.11,-9.47,-5.06,-67.59,Seek needle
36.86,-5.99,-54.68,-11.08,-5.19,-66.21,Seek needle
36.31,-6.46,-55.51,-6.61,-6.7,-73.47,Seek needle
37.52,-5.46,-53.47,-9.38,-5.06,-69.84,Seek needle
36.92,-6.18,-54.48,-10.84,-2.66,-66.54,Seek needle
37.7,-5.09,-53.02,-12.47,-0.07,-61.46,Seek needle
37.39,-5.26,-53.72,-12.29,-0.98,-61.71,Seek needle
37.18,-5.35,-54.16,-10.31,-0.85,-63.4,Seek needle
37.42,-5.23,-53.84,-10.08,-0.83,-63.01,Seek needle
37.7,-5.06,-53.44,-9.07,-2.93,-65.51,Seek needle
37.17,-6.16,-54.92,-10.46,-0.98,-61.91,Seek needle
37.45,-4.89,-53.37,-9.77,-1.16,-62.2,Seek needle
39.08,-3.59,-50.14,-11.05,-1.29,-60.05,Seek needle
39.16,-4.32,-50.0,-9.4,-1.77,-62.06,Seek needle
39.26,-5.46,-50.55,-8.34,-2.14,-63.57,Seek needle
39.54,-4.25,-49.21,-8.43,-2.63,-63.73,Seek needle
