ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
13.5,-16.73,-65.09,-0.82,-6.8,-60.99,Seek needle
14.03,-18.29,-63.01,-0.91,-7.28,-61.29,Seek needle
11.49,-20.32,-64.43,-1.69,-7.31,-60.24,Seek needle
10.76,-20.8,-62.78,-2.06,-7.55,-60.31,Seek needle
10.77,-21.79,-62.84,-2.41,-8.37,-60.45,Seek needle
9.83,-22.92,-63.79,-1.11,-8.23,-62.01,Seek needle
10.71,-24.27,-62.71,-1.89,-7.66,-59.92,Seek needle
11.33,-24.57,-60.38,-4.6,-6.6,-54.62,Seek needle
12.14,-24.74,-57.28,-4.75,-6.8,-53.9,Seek needle
13.01,-25.02,-54.86,-4.17,-7.24,-55.26,Seek needle
12.95,-24.79,-53.77,-5.36,-7.42,-53.72,Seek needle
13.44,-24.58,-52.15,-3.43,-7.54,-56.31,Seek needle
13.51,-25.23,-51.45,-5.97,-6.7,-52.02,Seek needle
12.97,-25.37,-51.91,-5.51,-6.66,-52.76,Seek needle
13.15,-25.28,-51.62,-4.99,-7.19,-54.03,Seek needle
14.71,-23.97,-48.59,-4.88,-7.41,-54.87,Seek needle
15.33,-23.92,-48.03,-3.86,-7.73,-56.45,Seek needle
16.3,-24.2,-47.87,-3.89,-7.88,-56.66,Seek needle
17.19,-22.89,-46.11,-2.69,-8.08,-58.6,Seek needle
14.66,-23.99,-49.06,-3.51,-7.94,-57.28,Seek needle
14.86,-25.22,-49.57,-4.65,-8.02,-55.57,Seek needle
15.63,-25.37,-49.93,-4.03,-8.5,-57.06,Seek needle
17.78,-25.58,-48.2,-5.18,-8.65,-55.71,Seek needle
13.26,-28.12,-56.3,-4.13,-9.02,-57.62,Seek needle
14.08,-27.62,-51.47,-4.3,-9.3,-57.92,Seek needle
11.93,-28.51,-53.2,-4.45,-9.36,-58.08,Seek needle
12.35,-28.57,-52.0,-5.8,-9.44,-56.5,Seek needle
12.54,-28.38,-51.47,-4.97,-9.97,-58.14,Seek needle
14.2,-27.21,-48.33,-4.42,-10.2,-59.34,Seek needle
12.82,-28.52,-51.6,-6.2,-10.25,-57.06,Seek needle
12.92,-28.43,-50.87,-5.06,-11.1,-59.8,Seek needle
12.86,-28.64,-50.03,-5.84,-11.44,-59.54,Seek needle
12.06,-29.06,-50.93,-4.74,-11.31,-61.04,Seek needle
11.98,-28.8,-50.32,-4.95,-12.03,-61.69,Seek needle
12.42,-28.59,-49.39,-4.88,-12.15,-62.12,Seek needle
12.3,-28.64,-49.68,-6.06,-11.59,-59.95,Seek needle
11.43,-29.48,-52.38,-5.32,-11.72,-61.18,Seek needle
12.23,-29.14,-51.19,-2.67,-13.48,-66.48,Seek needle
12.22,-29.03,-51.36,-4.03,-12.53,-63.87,Seek needle
13.62,-27.38,-48.4,-3.06,-13.43,-65.62,Seek needle
14.39,-26.93,-48.74,-6.01,-11.23,-59.32,Seek needle
15.83,-26.44,-47.56,-5.48,-11.64,-60.43,Seek needle
16.61,-25.4,-46.71,-5.72,-11.39,-59.31,Seek needle
16.41,-25.29,-48.28,-4.75,-12.4,-61.21,Seek needle
17.73,-25.2,-47.37,-4.55,-12.82,-61.86,Seek needle
16.71,-25.39,-49.17,-6.55,-11.47,-57.76,Seek needle
17.68,-25.22,-48.84,-4.98,-12.93,-60.28,Seek needle
17.48,-24.98,-49.62,-4.32,-13.36,-60.61,Seek needle
16.91,-25.13,-52.11,-6.38,-12.57,-56.03,Seek needle
17.36,-24.04,-51.16,-5.1,-14.11,-57.91,Seek needle
18.06,-24.11,-51.47,-2.78,-14.38,-59.83,Seek needle
18.21,-23.02,-51.68,-3.97,-14.65,-57.67,Seek needle
19.36,-22.29,-50.54,-1.89,-15.84,-61.26,Seek needle
18.14,-22.12,-52.78,-4.74,-14.42,-54.97,Seek needle
19.64,-21.29,-51.25,-4.37,-15.29,-55.79,Seek needle
19.2,-22.21,-53.21,0.11,-17.9,-64.73,Seek needle
19.82,-21.95,-52.48,-3.9,-14.49,-54.8,Seek needle
19.09,-21.98,-54.16,-4.67,-14.67,-53.42,Seek needle
20.31,-21.57,-52.45,-4.06,-15.05,-54.53,Seek needle
19.51,-21.83,-54.06,-2.7,-16.52,-57.31,Seek needle
19.09,-22.1,-54.89,-0.26,-17.71,-62.22,Seek needle
18.46,-22.27,-55.77,-0.57,-17.58,-62.16,Seek needle
18.01,-22.75,-55.76,-0.52,-17.85,-62.63,Seek needle
18.09,-22.86,-55.74,-1.38,-18.21,-62.0,Seek needle
18.39,-22.63,-55.64,-0.32,-18.74,-64.72,Seek needle
18.73,-22.33,-54.93,-0.59,-18.67,-64.29,Seek needle
19.47,-22.01,-53.68,0.43,-19.36,-67.07,Seek needle
18.9,-21.9,-54.27,-0.06,-19.11,-65.85,Seek needle
19.2,-21.82,-53.85,-1.42,-17.38,-62.54,Seek needle
18.18,-22.14,-55.15,-0.37,-18.04,-64.69,Seek needle
18.54,-22.36,-54.99,-1.33,-17.0,-62.22,Seek needle
17.69,-22.3,-55.94,-0.97,-17.58,-63.61,Seek needle
17.54,-22.66,-56.4,-2.8,-16.73,-60.11,Seek needle
17.86,-22.35,-55.71,-1.78,-17.73,-62.77,Seek needle
17.63,-22.45,-56.12,-1.33,-17.6,-63.26,Seek needle
16.88,-22.7,-57.42,-1.7,-17.91,-63.16,Seek needle
17.62,-22.26,-56.06,-0.77,-18.43,-64.97,Seek needle
17.69,-22.45,-56.08,-0.98,-17.65,-63.87,Seek needle
18.43,-21.8,-54.56,-3.6,-16.33,-58.59,Seek needle
18.7,-21.78,-54.16,-1.38,-17.48,-62.6,Seek needle
18.68,-21.94,-54.34,-1.48,-17.56,-62.24,Seek needle
19.07,-21.85,-53.98,-3.55,-16.92,-58.47,Seek needle
19.34,-21.58,-53.54,-1.8,-17.28,-61.18,Seek needle
18.1,-22.65,-56.12,-2.25,-17.69,-61.17,Seek needle
17.15,-23.29,-58.08,-3.42,-17.42,-59.24,Seek needle
17.88,-22.43,-56.46,-2.17,-18.21,-61.91,Seek needle
17.87,-22.44,-56.53,-1.74,-18.36,-62.84,Seek needle
19.11,-21.95,-54.65,-1.38,-18.6,-63.55,Seek needle
16.96,-22.69,-57.74,-1.25,-18.46,-63.52,Seek needle
17.72,-22.12,-55.8,-1.07,-18.84,-64.08,Seek needle
18.97,-21.73,-53.87,-1.05,-18.56,-64.17,Seek needle
18.47,-21.63,-54.9,-1.16,-18.48,-63.78,Seek needle
18.39,-21.79,-55.33,-1.0,-19.13,-64.4,Seek needle
19.58,-21.21,-54.12,-1.85,-18.68,-62.67,Seek needle
18.65,-21.23,-56.24,-1.56,-18.66,-63.04,Seek needle
20.79,-20.09,-53.76,-0.62,-19.37,-65.21,Seek needle
16.23,-22.53,-59.65,-3.34,-17.83,-59.99,Seek needle
14.72,-22.99,-58.97,-0.98,-18.82,-64.65,Seek needle
14.05,-23.21,-57.94,-1.85,-18.4,-63.19,Seek needle
14.07,-24.08,-58.65,-1.13,-18.71,-64.66,Seek needle
14.94,-21.9,-57.05,-0.56,-19.21,-65.93,Seek needle
14.57,-23.09,-60.01,-1.66,-18.3,-63.37,Seek needle
13.15,-24.1,-63.32,-2.36,-17.95,-62.0,Seek needle
15.42,-20.91,-56.74,-2.38,-18.46,-62.49,Seek needle
15.74,-21.1,-56.01,-2.83,-18.42,-62.35,Seek needle
14.69,-21.24,-57.46,-0.79,-20.25,-67.22,Seek needle
14.33,-21.47,-57.17,-1.05,-19.32,-66.34,Seek needle
12.94,-23.39,-59.84,-2.18,-18.94,-64.12,Seek needle
13.68,-22.94,-58.24,-3.18,-18.67,-62.3,Seek needle
12.68,-23.29,-59.09,-2.68,-18.96,-63.1,Seek needle
12.15,-23.04,-58.55,-2.23,-19.82,-64.37,Seek needle
12.12,-23.08,-58.0,-1.65,-19.82,-65.73,Seek needle
12.88,-22.83,-56.38,-2.27,-19.63,-64.85,Seek needle
13.22,-22.9,-55.58,-2.94,-20.16,-64.56,Seek needle
11.64,-22.98,-57.77,-1.32,-21.44,-68.53,Seek needle
11.57,-23.42,-58.13,-2.79,-20.06,-64.95,Seek needle
11.74,-23.13,-57.69,-2.75,-20.41,-65.3,Seek needle
10.71,-23.62,-59.48,-3.43,-19.7,-63.38,Seek needle
12.41,-22.97,-56.71,-3.31,-19.77,-63.51,Seek needle
12.83,-22.88,-56.04,-5.04,-19.39,-60.58,Seek needle
12.22,-22.88,-56.72,-4.53,-19.79,-61.94,Seek needle
11.41,-23.34,-58.02,-3.69,-20.2,-63.93,Seek needle
11.76,-24.03,-57.53,-3.63,-20.83,-64.88,Seek needle
12.21,-23.35,-56.0,-2.47,-21.42,-67.23,Seek needle
12.39,-22.94,-55.02,-3.68,-20.59,-64.95,Seek needle
12.05,-23.17,-55.66,-3.75,-20.9,-65.32,Seek needle
13.26,-22.45,-52.92,-2.96,-21.31,-66.99,Seek needle
13.13,-22.77,-53.24,-2.04,-21.95,-68.81,Seek needle
11.88,-23.29,-55.35,-2.55,-21.57,-67.39,Seek needle
12.63,-23.23,-54.18,-2.75,-21.92,-67.69,Seek needle
12.75,-22.88,-53.58,-3.02,-21.0,-66.74,Seek needle
11.5,-24.58,-56.99,-2.71,-21.13,-67.45,Seek needle
11.58,-23.7,-56.07,-3.92,-20.16,-64.42,Seek needle
11.53,-23.86,-56.31,-4.39,-19.79,-63.47,Seek needle
10.25,-24.53,-58.55,-5.18,-19.76,-61.84,Seek needle
10.85,-24.58,-57.64,-6.29,-19.17,-59.28,Seek needle
9.83,-25.42,-59.95,-3.13,-19.84,-63.94,Seek needle
11.06,-24.56,-57.42,-3.97,-19.43,-62.31,Seek needle
12.26,-22.97,-54.26,-1.88,-20.95,-66.74,Seek needle
11.8,-23.72,-55.57,-1.92,-21.43,-67.46,Seek needle
12.25,-23.47,-54.82,-5.5,-17.94,-58.32,Seek needle
11.72,-23.97,-55.82,-2.91,-20.44,-64.63,Seek needle
11.84,-23.61,-55.01,-2.51,-21.45,-67.28,Seek needle
11.06,-23.86,-56.0,-2.09,-21.33,-67.32,Seek needle
12.0,-23.22,-53.92,-2.63,-20.79,-67.41,Seek needle
12.31,-23.14,-53.33,-5.32,-20.41,-65.69,Seek needle
12.31,-23.14,-53.33,-7.47,-17.88,-59.2,Seek needle
12.18,-23.03,-53.41,-5.2,-18.77,-63.71,Seek needle
11.61,-23.16,-54.45,-3.53,-21.07,-63.77,Seek needle
11.98,-23.05,-53.92,-5.05,-21.09,-60.04,Seek needle
12.32,-22.83,-52.96,-3.06,-23.49,-65.4,Seek needle
10.83,-23.74,-55.66,-3.37,-23.46,-65.12,Seek needle
11.72,-23.64,-54.0,-3.96,-22.79,-63.08,Seek needle
12.06,-23.23,-53.44,-4.63,-22.66,-61.78,Seek needle
13.35,-22.81,-51.66,-2.42,-24.93,-67.68,Seek needle
13.09,-22.66,-52.58,-6.93,-21.86,-61.82,Seek needle
11.86,-24.09,-56.32,-6.71,-21.05,-61.14,Seek needle
14.59,-24.63,-53.4,-3.93,-22.4,-65.39,Seek needle
12.87,-23.22,-54.14,-3.57,-23.7,-65.85,Seek needle
13.01,-22.9,-53.68,-1.45,-26.36,-67.85,Seek needle
12.96,-22.72,-54.39,-2.97,-25.65,-63.52,Seek needle
14.55,-21.55,-51.76,-0.48,-29.6,-72.36,Seek needle
14.3,-21.03,-51.95,-3.5,-29.54,-70.45,Seek needle
14.99,-21.55,-51.73,-4.01,-28.71,-69.56,Seek needle
15.9,-22.24,-51.77,-3.83,-27.06,-65.78,Seek needle
16.5,-20.4,-49.23,-1.31,-26.06,-66.94,Seek needle
14.15,-21.53,-53.79,1.08,-25.09,-66.52,Seek needle
14.69,-21.67,-53.7,2.95,-25.97,-66.73,Seek needle
13.23,-22.65,-56.95,3.41,-26.41,-64.74,Seek needle
12.46,-23.77,-59.68,4.29,-27.1,-67.59,Seek needle
13.83,-22.42,-56.67,4.94,-27.03,-69.59,Seek needle
15.36,-20.86,-53.17,3.68,-27.39,-62.44,Seek needle
13.49,-22.42,-57.21,4.84,-28.64,-63.75,Seek needle
13.99,-22.04,-56.34,4.46,-28.17,-61.52,Seek needle
14.25,-21.62,-55.63,3.04,-28.48,-58.91,Seek needle
14.38,-21.04,-54.8,3.39,-31.23,-62.88,Seek needle
14.09,-21.34,-55.54,1.71,-29.55,-57.08,Seek needle
14.56,-21.09,-54.65,4.01,-31.15,-63.31,Seek needle
14.55,-21.42,-54.98,4.73,-33.69,-68.15,Seek needle
14.78,-20.54,-53.88,3.82,-31.53,-64.44,Seek needle
15.12,-20.38,-53.34,3.94,-30.49,-61.34,Seek needle
15.19,-20.0,-52.88,2.41,-29.89,-57.07,Seek needle
15.53,-20.14,-52.37,2.89,-32.61,-57.79,Seek needle
16.76,-18.77,-49.36,-1.51,-30.91,-47.62,Seek needle
15.94,-18.65,-50.17,-13.22,-27.89,-39.17,Seek needle
15.48,-19.56,-51.69,-10.45,-33.41,-56.56,Seek needle
15.52,-19.01,-50.97,-12.05,-31.9,-50.22,Seek needle
14.74,-19.33,-51.92,-11.49,-32.71,-52.95,Seek needle
15.23,-19.75,-51.44,-14.6,-32.88,-46.32,Seek needle
14.5,-19.82,-52.39,-17.14,-33.52,-42.23,Seek needle
13.93,-19.82,-53.15,-26.71,-81.73,-152.81,Seek needle
14.25,-20.12,-52.87,-14.04,-38.79,-56.63,Seek needle
13.06,-20.49,-54.47,-14.49,-39.95,-60.61,Seek needle
13.6,-20.69,-54.06,-17.72,-34.34,-47.77,Seek needle
